Minute,Fraction
564077,0.9078149999999999
571069,0.46121599999999996
571070,0.46121599999999996
571071,0.46121599999999996
571072,0.46121599999999996
571847,0.54848
571848,0.54848
571849,0.54848
571850,0.54848
571851,0.54848
571852,0.54848
571853,0.54848
571854,0.54848
571855,0.54848
572512,0.685962
572513,0.685962
572514,0.685962
575494,0.598119
575495,0.598119
575496,0.598119
575497,0.598119
575498,0.598119
575499,0.598119
575500,0.598119
589792,0.89725
589793,0.89725
589794,0.89725
589795,0.89725
589796,0.89725
598623,0.7017369999999999
598624,0.7017369999999999
598625,0.7017369999999999
598626,0.7017369999999999
598627,0.7017369999999999
598628,0.7017369999999999
598629,0.7017369999999999
599216,0.50275
599217,0.50275
599218,0.50275
616410,0.573661
616411,0.573661
616412,0.573661
616413,0.573661
616414,0.573661
625193,0.996237
625194,0.996237
625195,0.996237
636764,0.6238779999999999
636765,0.6238779999999999
636766,0.6238779999999999
636767,0.6238779999999999
636768,0.6238779999999999
636769,0.6238779999999999
636770,0.6238779999999999
639445,0.554559
639446,0.554559
639447,0.554559
639448,0.554559
639449,0.554559
639450,0.554559
639451,0.554559
639452,0.554559
639453,0.554559
639454,0.554559
646719,0.5810420000000001
646720,0.5810420000000001
646721,0.5810420000000001
646722,0.5810420000000001
646723,0.5810420000000001
646724,0.5810420000000001
646725,0.5810420000000001
656793,0.770188
656794,0.770188
656795,0.770188
656796,0.770188
656797,0.770188
656798,0.770188
663235,0.49421099999999996
663236,0.49421099999999996
663237,0.49421099999999996
663238,0.49421099999999996
663239,0.49421099999999996
663240,0.49421099999999996
663241,0.49421099999999996
664022,0.575253
664023,0.575253
664024,0.575253
664025,0.575253
687209,0.900724
687210,0.900724
687211,0.900724
687212,0.900724
696805,0.581331
696806,0.581331
696807,0.581331
697032,0.860203
697033,0.860203
697034,0.860203
697035,0.860203
697036,0.860203
697037,0.860203
706753,0.717366
706754,0.717366
706755,0.717366
706756,0.717366
706757,0.717366
706758,0.717366
711728,0.5878439999999999
711729,0.5878439999999999
711730,0.5878439999999999
711731,0.5878439999999999
711732,0.5878439999999999
711733,0.5878439999999999
714264,0.640666
714265,0.640666
714266,0.640666
714267,0.640666
714268,0.640666
714269,0.640666
714270,0.640666
714271,0.640666
715303,0.579595
715304,0.579595
715305,0.579595
715306,0.579595
715307,0.579595
715857,0.693198
715858,0.693198
715859,0.693198
715860,0.693198
715861,0.693198
715862,0.693198
719462,0.729088
719463,0.729088
719464,0.729088
719465,0.729088
720080,0.736614
720081,0.736614
720082,0.736614
720083,0.736614
720084,0.736614
720085,0.736614
720215,0.721708
720216,0.721708
720217,0.721708
720218,0.721708
720219,0.721708
720220,0.721708
720221,0.721708
727336,0.6342979999999999
727337,0.6342979999999999
727338,0.6342979999999999
727339,0.6342979999999999
733972,0.722576
733973,0.722576
733974,0.722576
733975,0.722576
733976,0.722576
733977,0.722576
733978,0.722576
733979,0.722576
733980,0.722576
733981,0.722576
744052,0.722576
744053,0.722576
744054,0.722576
744055,0.722576
744056,0.722576
744057,0.722576
744058,0.722576
744059,0.722576
744060,0.722576
744061,0.722576
749522,0.871346
749523,0.871346
749524,0.871346
749525,0.871346
749526,0.871346
749527,0.871346
756258,0.667149
756259,0.667149
756260,0.667149
756261,0.667149
758999,0.46657
759000,0.46657
759001,0.46657
759002,0.46657
774623,0.46439899999999995
774624,0.46439899999999995
774625,0.46439899999999995
774626,0.46439899999999995
774627,0.46439899999999995
774628,0.46439899999999995
777660,0.41664300000000004
777661,0.41664300000000004
777662,0.41664300000000004
777663,0.41664300000000004
777664,0.41664300000000004
777665,0.41664300000000004
777666,0.41664300000000004
777667,0.41664300000000004
777668,0.41664300000000004
788022,0.46454399999999996
788023,0.46454399999999996
788024,0.46454399999999996
788025,0.46454399999999996
788026,0.46454399999999996
788027,0.46454399999999996
788695,0.6460199999999999
788696,0.6460199999999999
788697,0.6460199999999999
788698,0.6460199999999999
791526,0.536469
791527,0.536469
791528,0.536469
791529,0.536469
791530,0.536469
791531,0.536469
791532,0.536469
791533,0.536469
791534,0.536469
791535,0.536469
792795,0.677713
792796,0.677713
792797,0.677713
792798,0.677713
792799,0.677713
792800,0.677713
803308,0.580174
803309,0.580174
803310,0.580174
803311,0.580174
803312,0.580174
803313,0.580174
805881,0.723444
805882,0.723444
805883,0.723444
805884,0.723444
805885,0.723444
805886,0.723444
805887,0.723444
805888,0.723444
805889,0.723444
807257,0.7963819999999999
807258,0.7963819999999999
807259,0.7963819999999999
807260,0.7963819999999999
807261,0.7963819999999999
807262,0.7963819999999999
807341,0.600579
807342,0.600579
807343,0.600579
807344,0.600579
807345,0.600579
807346,0.600579
810786,0.44023199999999996
810787,0.44023199999999996
810788,0.44023199999999996
810789,0.44023199999999996
810790,0.44023199999999996
810791,0.44023199999999996
810792,0.44023199999999996
812421,0.72026
812422,0.72026
817795,0.709262
817796,0.709262
817797,0.709262
817798,0.709262
817799,0.709262
818749,0.9178
818750,0.9178
818751,0.9178
818752,0.9178
